# x, y, dx, dy, p0_id, p1_id
1.835000000000000000e+02,1.905000000000000000e+02,0.000000000000000000e+00,7.142857142857224062e-01,4.900000000000000000e+01,4.700000000000000000e+01
6.559523809523809632e+02,2.121428571428571388e+02,-6.349206349204905564e-02,9.126984126984041268e-01,5.200000000000000000e+01,5.300000000000000000e+01
8.320625000000000000e+02,2.102500000000000000e+02,1.794642857142889625e+00,-1.250000000000000000e+00,5.300000000000000000e+01,5.100000000000000000e+01
7.015000000000000000e+02,2.250000000000000000e+02,5.000000000000000000e-01,0.000000000000000000e+00,6.000000000000000000e+01,5.900000000000000000e+01
2.096666666666666572e+02,2.330000000000000000e+02,6.666666666666856145e-01,1.666666666666657193e+00,6.200000000000000000e+01,6.100000000000000000e+01
3.497407407407407618e+02,2.448888888888888857e+02,-2.190016103059519992e-01,1.024154589371988777e+00,6.500000000000000000e+01,6.400000000000000000e+01
3.257500000000000000e+02,2.507500000000000000e+02,-1.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,6.700000000000000000e+01
7.288750000000000000e+02,2.592500000000000000e+02,4.886363636363739715e-01,2.045454545454390427e-01,7.200000000000000000e+01,7.100000000000000000e+01
3.911666666666666856e+02,2.681666666666666856e+02,-7.666666666667083518e-01,1.033333333333303017e+00,7.400000000000000000e+01,7.400000000000000000e+01
5.998999999999999773e+02,2.690500000000000114e+02,6.625000000000227374e-01,1.074999999999988631e+00,7.500000000000000000e+01,7.500000000000000000e+01
6.052857142857143344e+02,2.697142857142857224e+02,1.142857142856428254e-01,1.685714285714254856e+00,7.700000000000000000e+01,7.700000000000000000e+01
6.428750000000000000e+02,2.730000000000000000e+02,1.250000000000000000e-01,5.000000000000000000e-01,7.900000000000000000e+01,7.800000000000000000e+01
6.651250000000000000e+02,2.747500000000000000e+02,1.041666666666628771e+00,-7.500000000000000000e-01,8.000000000000000000e+01,7.900000000000000000e+01
6.960000000000000000e+02,2.765000000000000000e+02,2.000000000000454747e-01,6.999999999999886313e-01,8.100000000000000000e+01,8.000000000000000000e+01
4.080909090909090651e+02,2.983636363636363740e+02,-9.090909090906507117e-02,8.363636363636146598e-01,8.900000000000000000e+01,8.800000000000000000e+01
5.964285714285714448e+02,3.007142857142857224e+02,7.142857142856655628e-01,-5.714285714285551876e-01,9.000000000000000000e+01,8.900000000000000000e+01
5.611250000000000000e+02,3.011250000000000000e+02,9.722222222217169474e-02,1.208333333333314386e+00,9.200000000000000000e+01,9.000000000000000000e+01
3.752352941176470722e+02,3.071764705882353041e+02,-4.575163398693007366e-01,4.346405228757816985e-01,9.400000000000000000e+01,9.300000000000000000e+01
3.816000000000000227e+02,3.088000000000000114e+02,-4.571428571428555188e-01,6.285714285714334437e-01,9.600000000000000000e+01,9.500000000000000000e+01
4.886250000000000000e+02,3.252500000000000000e+02,-1.250000000000000000e-01,7.500000000000000000e-01,1.030000000000000000e+02,1.020000000000000000e+02
4.241666666666666856e+02,3.301666666666666856e+02,-3.666666666666742458e-01,4.333333333333371229e-01,1.050000000000000000e+02,1.040000000000000000e+02
7.220000000000000000e+02,3.363750000000000000e+02,2.727272727272520569e-01,7.954545454543904270e-02,1.080000000000000000e+02,1.070000000000000000e+02
5.553999999999999773e+02,3.438000000000000114e+02,-2.333333333333484916e-01,1.199999999999988631e+00,1.090000000000000000e+02,1.090000000000000000e+02
4.155000000000000000e+02,3.465000000000000000e+02,-3.000000000000113687e-01,8.999999999999772626e-01,1.110000000000000000e+02,1.100000000000000000e+02
6.731666666666666288e+02,3.720000000000000000e+02,5.833333333333712289e-01,-1.250000000000000000e-01,1.240000000000000000e+02,1.230000000000000000e+02
6.827999999999999545e+02,3.728000000000000114e+02,1.200000000000045475e+00,-3.000000000000113687e-01,1.260000000000000000e+02,1.240000000000000000e+02
4.385000000000000000e+02,3.795000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01,1.280000000000000000e+02,1.270000000000000000e+02
4.948000000000000114e+02,3.813999999999999773e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+02,1.290000000000000000e+02
4.372500000000000000e+02,3.856250000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.330000000000000000e+02,1.320000000000000000e+02
4.011666666666666856e+02,3.881666666666666856e+02,-1.666666666666856145e-01,3.333333333333143855e-01,1.350000000000000000e+02,1.340000000000000000e+02
5.080000000000000000e+02,3.920000000000000000e+02,0.000000000000000000e+00,7.500000000000000000e-01,1.400000000000000000e+02,1.390000000000000000e+02
6.243333333333333712e+02,3.933333333333333144e+02,0.000000000000000000e+00,6.666666666666856145e-01,1.420000000000000000e+02,1.410000000000000000e+02
4.878750000000000000e+02,3.997500000000000000e+02,1.250000000000000000e-01,7.500000000000000000e-01,1.450000000000000000e+02,1.440000000000000000e+02
5.425000000000000000e+02,4.035000000000000000e+02,-2.500000000000000000e-01,5.000000000000000000e-01,1.480000000000000000e+02,1.460000000000000000e+02
5.996666666666666288e+02,4.156666666666666856e+02,1.666666666667424579e-01,3.333333333333143855e-01,1.540000000000000000e+02,1.520000000000000000e+02
3.840000000000000000e+02,4.280000000000000000e+02,-3.333333333333143855e-01,3.333333333333143855e-01,1.590000000000000000e+02,1.570000000000000000e+02
5.372000000000000455e+02,4.453999999999999773e+02,0.000000000000000000e+00,2.000000000000454747e-01,1.660000000000000000e+02,1.640000000000000000e+02
5.400000000000000000e+02,4.490000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01,1.710000000000000000e+02,1.690000000000000000e+02
4.246666666666666856e+02,4.513333333333333144e+02,0.000000000000000000e+00,3.333333333333712289e-01,1.720000000000000000e+02,1.700000000000000000e+02
